player,bats,slot,team_side,park,vs_sp,sp_throws,talent_hr_pa,matchup_rate,env_mult,rate_tonight,p_hr_tonight,fair_odds,bbe_sample
"Herrera, Iván",R,4,away,NYY,Cam Schlittler,R,0.0233,0.0237,1.229,0.0292,0.1195,+737,231
"Cronenworth, Jake",L,2,away,ARI,Brandon Pfaadt,R,0.0259,0.0278,1.02,0.0284,0.1193,+738,117
"Carrigg, Cole",R,3,home,COL,Ian Seymour,L,0.0268,0.0291,1.024,0.0298,0.1188,+742,55
"Tucker, Kyle",L,6,away,CHC,Matthew Boyd,L,0.029,0.0311,1.008,0.0313,0.118,+748,85
"Swanson, Dansby",R,8,home,CHC,Justin Wrobleski,L,0.0239,0.0298,1.028,0.0307,0.1148,+771,75
"Castro, Willi",R,6,home,COL,Ian Seymour,L,0.0234,0.0254,1.024,0.026,0.1136,+781,83
"Bregman, Alex",R,3,home,CHC,Justin Wrobleski,L,0.024,0.0299,1.028,0.0307,0.1133,+783,85
"Vivas, Jorbit",L,8,away,PHI,Aaron Nola,R,0.0223,0.0259,1.218,0.0315,0.112,+793,151
"Bogaerts, Xander",R,8,away,ARI,Brandon Pfaadt,R,0.0276,0.0307,1.01,0.031,0.1117,+795,216
"Alcántara, Kevin",R,9,home,CHC,Justin Wrobleski,L,0.025,0.0311,1.028,0.032,0.1117,+796,8
"Alfonzo, Eliezer",R,9,away,CHC,Matthew Boyd,L,0.024,0.0313,1.028,0.0321,0.1111,+800,10
"Stubbs, Garrett",L,9,home,PHI,Andrew Alvarez,L,0.0275,0.0273,1.218,0.0332,0.1111,+800,1
"Carter, Evan",L,5,home,TEX,Logan Webb,R,0.0288,0.0271,1.01,0.0274,0.1106,+804,167
"Palacios, Richie",L,7,away,COL,Michael Lorenzen,R,0.0235,0.0314,1.005,0.0316,0.1102,+807,150
"Altuve, Jose",R,6,home,HOU,Shane Bieber,R,0.0258,0.0278,1.05,0.0292,0.1093,+815,200
"Rengifo, Luis",L,6,away,ARI,Brandon Pfaadt,R,0.0253,0.0272,1.02,0.0277,0.1065,+839,128
"Arenado, Nolan",R,5,home,ARI,Michael King,R,0.0278,0.0257,1.01,0.0259,0.1056,+847,202
"Susac, Daniel",R,5,away,TEX,Cal Quantrill,R,0.028,0.0249,1.0,0.0249,0.1055,+848,69
"Song, Sung-Mun",L,9,away,ARI,Brandon Pfaadt,R,0.0269,0.0289,1.02,0.0294,0.1044,+858,74
"Caballero, José",R,8,home,NYY,Michael McGreevy,R,0.021,0.0242,1.229,0.0298,0.104,+862,165
"Waldschmidt, Ryan",R,9,home,ARI,Michael King,R,0.0309,0.0285,1.01,0.0287,0.1039,+862,70
"Perdomo, Geraldo",L,2,home,ARI,Michael King,R,0.0221,0.0249,1.02,0.0254,0.1034,+867,236
"Tawa, Tim",R,7,home,ARI,Michael King,R,0.0285,0.0262,1.01,0.0265,0.1021,+879,83
"Tovar, Ezequiel",R,9,home,COL,Ian Seymour,L,0.0255,0.0277,1.024,0.0284,0.1009,+891,64
"Duran, Ezequiel",R,7,home,TEX,Logan Webb,R,0.0307,0.025,1.0,0.025,0.1008,+892,211
"Walls, Taylor",L,9,away,COL,Michael Lorenzen,R,0.022,0.0294,1.005,0.0296,0.099,+910,113
"Winn, Masyn",R,6,away,NYY,Cam Schlittler,R,0.0194,0.0198,1.229,0.0243,0.0955,+947,218
"Kirk, Alejandro",R,5,away,HOU,Cristian Javier,R,0.0211,0.0227,1.05,0.0238,0.0943,+960,79
"Fermín, José",R,8,away,NYY,Cam Schlittler,R,0.0201,0.0205,1.229,0.0252,0.0938,+967,89
"Hamilton, David",L,8,home,MIL,Bubba Chandler,R,0.0231,0.0245,1.06,0.026,0.0933,+972,147
"Koss, Christian",R,9,away,TEX,Cal Quantrill,R,0.0277,0.0246,1.0,0.0246,0.0929,+976,25
"Gonzales, Nick",R,6,away,MIL,Brandon Sproat,R,0.0211,0.0225,1.04,0.0234,0.0908,+1001,228
